name,mIoU,IoU_rust,IoU_PM,IoU_leaf,IoU_background,surfPred_rust,surfPred_PM,surfPred_leaf,surfPred_background,surfGT_rust,surfGT_PM,surfGT_leaf,surfGT_background
60_leaf1,0.5080395931605861,0.00868310530519698,0.06970424322683882,0.9786058856369115,0.9751651384733969,770.97,626.87,76394.97,40375.75,11.99,148.58,77562.57,40445.42
654_leaf4,0.6568541882205433,0.39482005722029817,0.3223615661421129,0.9531452876989376,0.9570898418208243,391.23,3511.85,76034.29000000001,39860.63,164.55,1412.3600000000001,79024.43000000001,39196.66
664_leaf3,0.567500607331808,0.0,0.4018972396148731,0.9001858259712436,0.9679193637411153,2005.57,3224.2400000000002,42294.200000000004,29900.260000000002,0.0,1614.17,46310.8,29499.3
672_leaf2,0.6361233136722859,0.634845007867289,0.07193634214449872,0.8612829983623518,0.9764289063150043,17836.47,1170.0,52727.48,39762.93,12170.26,131.32,59621.33,39573.97
684_leaf3,0.619208588999177,0.0,0.5953814970120195,0.9123546806670207,0.9690981783176676,134.93,6772.58,39938.17,62500.75,0.0,4789.74,41176.4,63380.29
C_2,0.5667778149459981,0.3218697021070477,0.0,0.9856477400245366,0.9595938176524083,35.550000000000004,404.35,81029.33,29651.52,19.03,0.0,80224.15000000001,30877.57
C_8,0.4863250734522208,0.0021274081077886776,0.01010140520031683,0.9576974121917045,0.9753740683090732,758.15,924.5600000000001,56331.37,40298.64,4.96,108.4,56896.68,41302.68
C_9,0.48890007897426013,0.0,0.014502334421352726,0.9807316341128953,0.9603663473627926,77.85000000000001,130.89000000000001,82183.77,38489.65,0.0,114.65,80689.97,40077.54
PM_10,0.5369633857399094,0.0,0.22794793411592937,0.9500170107770705,0.9698885980666377,389.15000000000003,550.46,47956.07,34338.7,0.0,1333.47,46502.520000000004,35398.39
PM_11,0.5533277638972811,0.17178463794086504,0.10516132633001979,0.9501873396982671,0.9861777516199725,50.33,309.26,51130.93,84592.66,93.53,1472.89,48856.15,85660.61
PM_13,0.5499651599486741,0.0,0.2504542302159098,0.9715108096379773,0.9778955999408094,547.5600000000001,1086.0,95466.3,78923.28,0.0,1095.68,94257.39,80670.07
PM_2,0.6230949819392861,0.0,0.6267005017529864,0.9392571015143246,0.9264223244898333,600.41,2860.38,41436.71,14653.18,0.0,3338.39,40395.46,15816.83
PM_3,0.5977775228490961,0.019829435462774027,0.43449738278526556,0.9664222880823731,0.9703609850659718,186.36,1701.89,63229.5,37285.42,8.56,2269.1,61707.73,38417.78
PM_4,0.5127859714322822,0.04075414206817749,0.07177178578092928,0.97969847255573,0.9589194853242919,102.11,80.01,71612.24,25589.09,7.19,379.48,70315.61,26681.170000000002
PM_5,0.6765114405877951,0.43866997920036976,0.34553004109508517,0.9550100216840779,0.9668357203716477,648.59,1032.24,52007.44,40511.01,347.43,1485.6100000000001,50467.03,41899.21
PM_6,0.5652830595273426,0.1357705329630616,0.21001254124825444,0.9529026754556029,0.9624464884424514,475.92,774.16,57579.44,26406.4,121.2,1946.65,55742.62,27425.45
PM_8,0.5884566826483517,0.0,0.46054087890554124,0.9312632784762765,0.9620225732115889,461.61,3434.07,37068.42,35483.88,0.0,3005.63,36589.44,36852.91
PM_9,0.6825328729976454,0.421018810608716,0.3737285369789495,0.9549245196048082,0.9804596247981082,505.31,1259.3700000000001,59689.770000000004,57311.950000000004,710.94,1771.24,57831.71,58452.51
R_17,0.6140538094091509,0.5452786089649115,0.0,0.9601113953250939,0.950825233346598,1057.96,156.74,43146.74,24132.61,1018.0600000000001,0.0,42095.29,25380.7
R_18,0.6189531192496132,0.5691713994466288,0.0,0.964947349686359,0.941693727865465,1001.4,215.82,54316.75,24071.98,938.19,0.0,53105.33,25562.43
R_20,0.627077710539594,0.6181456861286724,0.0,0.9341118375410054,0.9560533184886985,6982.16,589.39,68740.57,39445.86,6941.66,0.0,67584.8,41231.520000000004
R_21,0.6303811098593515,0.6326850173067414,0.005302840183744504,0.9302672433259902,0.9532693386209297,3770.21,712.97,93390.91,103971.41,4550.41,208.38,88083.3,109003.41
R_23,0.5494056677424398,0.3042563154275818,0.050384358288770054,0.8915092499014723,0.9514727473519352,3986.79,201.44,81164.5,32638.190000000002,9689.42,49.980000000000004,73953.18000000001,34298.340000000004
RPM_1,0.6701876851651641,0.5112570151622131,0.25893491771309846,0.933467275353393,0.9770915324319521,3114.31,679.0600000000001,63373.840000000004,57122.630000000005,5190.41,702.47,59940.46,58456.5
RPM_13,0.6864889582745755,0.607951921966986,0.21476485599708348,0.9647344407909596,0.9585046143432725,1157.46,507.64,62833.98,34270.57,1071.29,825.2,61122.0,35751.16
RPM_16,0.7097894257616149,0.5902901305572252,0.34194020308603224,0.9475310159104827,0.9593963534927192,3064.32,999.71,60461.01,34658.41,2147.84,1330.18,59588.21,36117.22
RPM_2,0.6859387858124595,0.4328619932501118,0.3998725225361945,0.9458026735429443,0.9652179539205875,1132.71,2549.66,49964.39,38936.6,1686.3600000000001,2062.5,48495.21,40339.29
RPM_5,0.7130129380581023,0.6162536609437925,0.31218203681435575,0.9538916154926343,0.9697244389816263,4130.93,775.54,78229.92,32203.11,5432.75,926.78,75799.85,33180.12
RPM_6,0.7476904833238225,0.6309296709194253,0.4334783444275556,0.9485705769702659,0.977783340978043,2846.15,1008.15,59665.86,46347.22,3839.52,1453.29,57224.68,47349.89
RPM_7,0.6372418641721207,0.3797987835451592,0.24839788663830967,0.9458385428016725,0.9749322437033412,778.85,826.01,67382.38,42345.46,1752.8600000000001,2059.05,64143.21,43377.58
RPM_8,0.7452090514812033,0.5805360828664644,0.4696945826112399,0.9595442420106405,0.9710612984364685,1417.18,1678.48,75309.48,40955.61,1906.15,2239.52,73082.71,42132.37
RPM_9,0.7206244317256282,0.5136409168581698,0.45573534847427,0.9277135988753672,0.9854078626947059,4691.61,2922.58,88008.88,86273.89,5840.47,4166.56,84359.27,87530.66
