image,class,precision,recall,f1,IoU,ground_truth_surface_mm2,prediction_surface_mm2,surface_error_mm2,surface_error_percent
251_leaf4,bg,0.9938885515635116,0.9926316316933919,0.9932596939864914,0.9866096430762789,965.640267530612,964.4190718163263,1.2211957142857273,0.12646487054735428
251_leaf4,leaf,0.9719143543575257,0.9933755236625383,0.9825277599126658,0.9656555935406466,2195.7049568367343,2244.1890599999997,48.484103163265445,2.2081337937640964
251_leaf4,oidium,0.9260744399748224,0.6618318658434109,0.771966925595908,0.6286206305725991,144.152443755102,103.02053128571427,41.13191246938774,28.533621351064998
251_leaf4,yellow_rust,0.8528262568377182,0.5308687016093072,0.6543910056214866,0.4863158676519737,16.240257183673467,10.109262204081631,6.130994979591836,37.751834285945925
60_leaf1,bg,0.9646111953657741,0.9904101291110573,0.9773404377569586,0.9556850332610369,1331.3271595918366,1366.9340666530609,35.60690706122432,2.6745422268814067
60_leaf1,leaf,0.9938974547538938,0.9733468141250746,0.9835147942283736,0.9675642976837775,2553.0630307959177,2500.273801285714,52.78922951020377,2.0676821869825526
60_leaf1,oidium,0.40486680675116926,0.4020597738287561,0.4034584079165119,0.2527077339651379,4.890049469387754,4.8561456530612235,0.03390381632653039,0.693322563274098
60_leaf1,yellow_rust,0.00014952712048147733,0.006672226855713094,0.0002924992230489388,0.00014627100360192346,0.39466675510204074,17.61089302040816,17.21622626530612,4362.218515429525
235_leaf5,bg,0.9888446719875994,0.9920072787516672,0.9904234506777854,0.9810285820750414,880.5723007346937,883.3886216326529,2.8163208979591445,0.3198284678736117
235_leaf5,leaf,0.9937347950717583,0.9922475512361768,0.9929906162773592,0.9860788115067429,2617.698517061224,2613.7808158775506,3.9177011836732163,0.1496620469522862
235_leaf5,oidium,0.0,1.0,0.0,0.0,0.0,4.665889285714285,4.665889285714285,0.0
235_leaf5,yellow_rust,0.7180020483731191,0.613346972837645,0.6615611321220393,0.4942781833367682,24.454855632653057,20.890346632653056,3.564509000000001,14.575874229412872
511_leaf4,bg,0.9893546461623407,0.9922816635595668,0.9908159931547916,0.9817991431039057,1730.867835163265,1735.9886280816322,5.120792918367215,0.29585118021933343
511_leaf4,leaf,0.992864958981473,0.989494172057687,0.9911766996906018,0.9825077388543819,3174.6947697551013,3163.916647795918,10.778121959183409,0.3395010462695633
511_leaf4,oidium,0.5519018353080318,0.46078431372549017,0.5022438761880051,0.33533087810699486,18.667507102040812,15.585551448979588,3.0819556530612235,16.509733389758782
511_leaf4,yellow_rust,0.43599369322021175,0.725059308278187,0.5445423855963991,0.3741382642870949,13.18134295918367,21.92062765306122,8.73928469387755,66.300412036459
654_leaf4,bg,0.995337267893646,0.969541282396968,0.982269943339113,0.9651576436308499,1324.2949155918366,1289.9733910816324,34.3215245102042,2.591682872607387
654_leaf4,leaf,0.9848189341089738,0.9916967559943582,0.9882458784292597,0.9767648654546777,2567.1443061224486,2585.072841693877,17.928535571428256,0.6983844082574688
654_leaf4,oidium,0.5500038591732548,0.7068922758610916,0.6186564965970575,0.4478657879614998,46.45448246938775,59.705608040816315,13.251125571428567,28.524966519992347
